發言日期,發言時間,公司代號,公司名稱,主旨,ret
2019-03-07,18:48:26,5475,德宏,本公司董事會決議發行國內第一次私募可轉換公司債,-2.19
2019-03-18,19:42:27,3260,威剛,公告本公司董事會決議發行國內第六次有擔保轉換公司債,-4.73
2019-03-19,16:55:46,4306,炎洲,公告本公司董事會決議發行國內第八次有擔保轉換公司債,-0.36
2019-03-19,16:57:30,4306,炎洲,公告本公司董事會決議發行國內第九次有擔保轉換公司債,
2019-03-20,16:57:15,2630,亞航,公告本公司董事會決議發行國內第一次無擔保轉換公司債,-0.84
2019-03-20,16:58:27,2630,亞航,公告本公司董事會決議發行國內第二次無擔保轉換公司債,
2019-03-22,14:33:22,5011,久陽,本公司董事會決議發行有擔保可轉換公司債。,-1.37
2019-03-22,14:33:56,5011,久陽,本公司董事會決議發行無擔保可轉換公司債。,
2019-03-26,16:37:10,3522,御嵿,本公司董事會決議發行國內第一次有擔保轉換公司債,-0.74
2019-03-27,18:17:37,4803,VHQ-KY,"代子公司VHQ Digital Media Limited公告
其董事會決議發行有擔保可轉換公司債",
2019-03-28,14:05:54,4803,VHQ-KY,"補充代子公司VHQ Digital Media Limited
公告其董事會決議發行有擔保可轉換公司債",
2019-04-09,16:29:33,3596,智易,董事會決議發行本公司國內第一次無擔保轉換公司債,0.64
2019-04-19,16:18:24,8011,台通,公告本公司董事會決議發行國內轉換公司債,1.6
2019-05-07,17:38:58,4736,泰博,公告本公司董事會決議發行國內第三次有擔保可轉換公司債,
2019-05-08,17:56:38,6655,科定,本公司董事會決議發行第一次無擔保轉換公司債,-2.14
2019-05-10,16:32:41,1449,佳和,本公司董事會決議發行私募國內無擔保可轉換公司債,-1.77
2019-05-14,17:05:00,4566,時碩工業,本公司董事會決議發行國內第一次無擔保轉換公司債,-0.12
2019-05-14,19:09:33,3710,連展投控,公告董事會決議發行國內第一次有擔保轉換公司債,2.14
2019-06-19,14:34:19,4129,聯合,公告本公司董事會決議發行國內第三次無擔保轉換公司債,0.21
2019-07-11,18:15:21,6432,今展科,公告本公司董事會決議發行國內第二次有擔保可轉換公司債,-0.2
2019-07-24,18:57:24,4803,VHQ-KY,"公告本公司董事會決議發行中華民國境內
第二次無擔保轉換公司債",
2019-08-06,17:24:00,6288,聯嘉,公告本公司董事會決議發行國內第一次有擔保可轉換公司債,-2.78
2019-08-07,16:56:55,6257,矽格,本公司董事會決議發行國內第三次無擔保轉換公司債,0.72
2019-08-07,17:35:18,2610,華航,本公司董事會決議發行國內第七次無擔保轉換公司債,-0.11
2019-08-07,16:09:45,2067,嘉鋼,公告本公司董事會決議發行國內第一次有擔保轉換公司債,-1.23
2019-08-08,17:20:03,8390,金益鼎,公告本公司董事會決議發行國內第五次有擔保轉換公司債,-1.38
